RequestTime,Predicted,SendBytes,ReceiveBytes,TimeTaken,UrlType1,UrlType2,UrlType3,Method_GET,Method_POST,Method_PUT,Method_DELETE,Method_HEAD,Method_OPTIONS,Method_PATCH,GroupCount
2023-04-21,2,6957,43402,5654,47,0,0,46,1,0,0,0,0,0,47
2023-04-21,3,1553657994,25454606,4936370,0,42288,24,42304,1,0,0,7,0,0,42312
2023-04-21,4,1430971,3596078,204238,0,4259,85,4343,1,0,0,0,0,0,4344
2023-04-21,5,205938914,2348598,1729412,48,6949,81,7077,0,0,0,1,0,0,7078
2023-04-21,6,9890,10616,12701,5,10,22,37,0,0,0,0,0,0,37
2023-04-22,1,250719742,24364906,3013789,25155,0,0,21007,4148,0,0,0,0,0,25155
2023-04-22,2,5211,22597,3622,25,0,0,25,0,0,0,0,0,0,25
2023-04-22,3,1002447884,16414403,3141948,0,27903,17,27912,0,0,0,8,0,0,27920
2023-04-22,4,955223,2430725,154687,0,2879,35,2912,2,0,0,0,0,0,2914
2023-04-22,5,215475624,1888489,1641201,18,5225,77,5318,2,0,0,0,0,0,5320
2023-04-22,6,10555,26661,12855,20,125,16,161,0,0,0,0,0,0,161
2023-04-23,1,205927728,20584623,2103783,21423,0,0,17941,3481,0,0,0,1,0,21423
2023-04-23,2,2058,24004,4320,27,0,0,24,3,0,0,0,0,0,27
2023-04-23,3,842988749,13597679,2413861,0,23334,13,23342,0,0,0,5,0,0,23347
2023-04-23,4,796370,1938625,145024,0,2372,36,2408,0,0,0,0,0,0,2408
2023-04-23,5,217463456,1735660,1441780,20,4507,88,4612,0,0,0,3,0,0,4615
2023-04-23,6,10684,26794,10703,0,166,33,194,0,0,0,5,0,0,199
2023-04-24,1,316175604,35287401,4214446,36611,0,0,30985,5626,0,0,0,0,0,36611
2023-04-24,2,7030,27173,10249,25,0,0,24,1,0,0,0,0,0,25
2023-04-24,3,1542074002,26222192,4334069,0,42883,21,42889,0,0,0,15,0,0,42904
2023-04-24,4,1433463,3600751,188395,0,4284,39,4322,1,0,0,0,0,0,4323
2023-04-24,5,206816598,1983745,1433369,32,5541,89,5658,0,0,0,4,0,0,5662
2023-04-24,6,13695,10141,31684,0,6,39,40,0,0,0,5,0,0,45
2023-04-25,1,302999698,37276561,3523020,38107,0,0,31743,6351,0,0,0,13,0,38107
2023-04-25,2,7486,40961,7656,40,0,0,37,3,0,0,0,0,0,40
2023-04-25,3,1500332148,25151526,4334401,0,41372,20,41360,0,0,0,32,0,0,41392
2023-04-25,4,1356669,3414972,186262,0,4081,29,4110,0,0,0,0,0,0,4110
2023-04-25,5,234813587,2115854,1532150,15,5732,70,5817,0,0,0,0,0,0,5817
2023-04-25,6,6774,6859,20464,0,10,17,27,0,0,0,0,0,0,27
2023-04-26,1,424038142,39914017,4383030,40559,0,0,33430,7128,0,1,0,0,0,40559
2023-04-26,2,9898,46342,8960,46,0,0,46,0,0,0,0,0,0,46
2023-04-26,3,1551765973,26106329,5484143,0,42680,13,42684,0,0,0,9,0,0,42693
2023-04-26,4,1554334,3900921,216380,0,4647,33,4680,0,0,0,0,0,0,4680
2023-04-26,5,181354632,2046120,1552295,24,6253,73,6350,0,0,0,0,0,0,6350
2023-04-26,6,10138,8484,26531,0,9,27,36,0,0,0,0,0,0,36
2023-04-27,1,448250677,43299307,5968486,44003,0,0,36647,7355,0,1,0,0,0,44003
2023-04-27,2,9751,59843,9119,63,0,0,60,3,0,0,0,0,0,63
2023-04-27,3,1756984965,29615150,4716982,0,48554,21,48569,0,0,0,6,0,0,48575
2023-04-27,4,1746836,4493445,221592,0,5229,29,5258,0,0,0,0,0,0,5258
2023-04-27,5,244248650,2154445,1717094,53,5863,69,5985,0,0,0,0,0,0,5985
2023-04-27,6,8956,7408,15955,0,9,22,31,0,0,0,0,0,0,31
2023-04-28,1,299293156,33753012,3709972,34605,0,0,28964,5640,0,1,0,0,0,34605
2023-04-28,2,23389,100678,11110,107,0,0,83,20,2,1,0,0,1,107
2023-04-28,3,1456655628,24521985,4534501,0,40104,16,40113,0,0,0,7,0,0,40120
2023-04-28,4,1468360,3747225,198917,0,4389,39,4428,0,0,0,0,0,0,4428
2023-04-28,5,224359772,2295351,1494360,12,6734,79,6822,0,0,0,3,0,0,6825
2023-04-28,6,9251,5648,6012,0,1,28,24,0,0,0,5,0,0,29
2023-04-29,1,194627188,24486961,2219486,22026,0,0,18523,3503,0,0,0,0,0,22026
2023-04-29,2,6392,41589,8346,42,0,0,38,4,0,0,0,0,0,42
2023-04-29,3,806977277,13211572,2154675,0,22259,6,22261,0,0,0,4,0,0,22265
2023-04-29,4,839441,2131179,128444,0,2479,49,2523,5,0,0,0,0,0,2528
2023-04-29,5,272412436,1825954,1300013,16,4695,71,4782,0,0,0,0,0,0,4782
2023-04-29,6,10403,5931,4426,0,1,28,29,0,0,0,0,0,0,29
2023-04-30,1,158126113,16372187,1764131,17053,0,0,14204,2848,0,1,0,0,0,17053
2023-04-30,2,8440,45265,9643,44,0,0,39,5,0,0,0,0,0,44
2023-04-30,3,691587587,11320311,2543909,0,19259,10,19265,0,0,0,4,0,0,19269
2023-04-30,4,696980,1787063,113612,0,2071,59,2130,0,0,0,0,0,0,2130
2023-04-30,5,208821883,1398892,1046750,31,3533,79,3643,0,0,0,0,0,0,3643
2023-04-30,6,9961,8848,19833,0,12,24,36,0,0,0,0,0,0,36
2023-05-01,1,208547167,20703632,2438973,21285,0,0,17895,3390,0,0,0,0,0,21285
2023-05-01,2,2865,27818,7251,30,0,0,29,1,0,0,0,0,0,30
2023-05-01,3,886607879,14800983,2741216,0,24613,19,24613,0,0,0,19,0,0,24632
2023-05-01,4,799605,1963573,151205,0,2359,77,2426,0,1,0,9,0,0,2436
2023-05-01,5,204089004,1530629,1203313,6,4023,66,4095,0,0,0,0,0,0,4095
2023-05-01,6,8898,4830,14967,0,9,17,24,0,0,0,2,0,0,26
2023-05-02,1,385231381,36448747,4543284,36805,0,0,30803,6001,0,1,0,0,0,36805
2023-05-02,2,12676,35413,4850,36,0,0,35,1,0,0,0,0,0,36
2023-05-02,3,1455406038,24664411,4579897,0,40261,41,40261,2,0,0,39,0,0,40302
2023-05-02,4,1475067,3586621,303665,0,4198,324,4501,2,0,0,19,0,0,4522
2023-05-02,5,203494277,1882396,1416912,23,5258,99,5375,2,0,0,3,0,0,5380
2023-05-02,6,11711,9593,36733,0,10,32,35,0,0,0,7,0,0,42
2023-05-03,1,392155345,36026173,3957690,36528,0,0,30748,5779,0,1,0,0,0,36528
2023-05-03,2,7704,33862,7383,35,0,0,32,3,0,0,0,0,0,35
2023-05-03,3,1468016542,24740302,4692180,0,40277,14,40288,0,0,0,3,0,0,40291
2023-05-03,4,1345640,3433052,189341,0,3993,82,4075,0,0,0,0,0,0,4075
2023-05-03,5,241851258,1889786,1432015,24,5015,83,5122,0,0,0,0,0,0,5122
2023-05-03,6,8565,7141,16861,0,8,22,30,0,0,0,0,0,0,30
2023-05-04,1,325110925,35897998,3381950,33698,0,0,28310,5385,0,3,0,0,0,33698
2023-05-04,2,8067,35562,8184,35,0,0,35,0,0,0,0,0,0,35
2023-05-04,3,1365803945,23180353,4123118,0,37700,9,37706,0,0,0,3,0,0,37709
2023-05-04,4,1396181,3610501,199391,0,4172,42,4214,0,0,0,0,0,0,4214
2023-05-04,5,243434031,1993309,1509461,9,5456,68,5531,2,0,0,0,0,0,5533
2023-05-04,6,9534,7472,14586,0,15,25,40,0,0,0,0,0,0,40
2023-05-05,1,366805533,28381493,3335402,29386,0,0,24880,4506,0,0,0,0,0,29386
2023-05-05,2,3963,22400,2355,25,0,0,23,2,0,0,0,0,0,25
2023-05-05,3,1291673051,21588658,3724373,0,35477,10,35484,0,0,0,3,0,0,35487
2023-05-05,4,1213511,3088607,215354,0,3630,36,3666,0,0,0,0,0,0,3666
2023-05-05,5,205669456,1754782,1248576,11,4847,79,4936,1,0,0,0,0,0,4937
2023-05-05,6,10444,6519,5327,0,6,28,34,0,0,0,0,0,0,34
2023-05-06,1,249158679,21023028,2267095,21939,0,0,18389,3550,0,0,0,0,0,21939
2023-05-06,2,2756,22551,1998,26,0,0,25,1,0,0,0,0,0,26
2023-05-06,3,872866136,14076828,2381957,0,24302,4,24301,0,0,0,5,0,0,24306
2023-05-06,4,866913,2168528,126246,0,2620,44,2663,0,0,0,1,0,0,2664
2023-05-06,5,227887046,1586863,1233521,43,4179,74,4291,2,0,0,3,0,0,4296
2023-05-06,6,12649,8119,12018,0,1,41,37,0,0,0,5,0,0,42
2023-05-07,1,180185150,17339095,1753132,17716,0,0,14990,2725,0,1,0,0,0,17716
2023-05-07,2,6536,28351,5233,26,0,0,25,1,0,0,0,0,0,26
2023-05-07,3,753484629,12292169,3067216,0,21026,9,21035,0,0,0,0,0,0,21035
2023-05-07,4,682005,1720137,100860,0,2035,45,2080,0,0,0,0,0,0,2080
2023-05-07,5,233752253,1604488,1143545,23,4085,79,4186,1,0,0,0,0,0,4187
2023-05-07,6,10481,10159,25838,0,25,23,48,0,0,0,0,0,0,48
2023-05-08,1,318542517,30808708,3063941,31090,0,0,26053,5037,0,0,0,0,0,31090
2023-05-08,2,8209,32033,4839,31,0,0,29,2,0,0,0,0,0,31
2023-05-08,3,1247007274,21166105,3285167,0,34383,22,34392,0,0,0,13,0,0,34405
2023-05-08,4,1163174,3014807,199259,0,3444,57,3493,5,0,0,3,0,0,3501
2023-05-08,5,237174017,2231482,1586280,11,6274,81,6366,0,0,0,0,0,0,6366
2023-05-08,6,13114,35907,46355,0,177,27,204,0,0,0,0,0,0,204
2023-05-09,1,352373381,31571022,3488040,32057,0,0,26731,5326,0,0,0,0,0,32057
2023-05-09,2,6544,37773,4925,40,0,0,39,1,0,0,0,0,0,40
2023-05-09,3,1310343062,22216772,3908375,0,36235,10,36220,0,0,0,25,0,0,36245
2023-05-09,4,1206309,3090396,208805,0,3610,30,3640,0,0,0,0,0,0,3640
2023-05-09,5,200600465,1810937,1434305,33,5069,69,5169,1,0,0,1,0,0,5171
2023-05-09,6,7391,7057,28419,0,19,19,38,0,0,0,0,0,0,38
2023-05-10,1,340047347,32478839,3870676,32282,0,0,26983,5299,0,0,0,0,0,32282
2023-05-10,2,8910,32353,5334,31,0,0,30,1,0,0,0,0,0,31
2023-05-10,3,1318896676,22453820,4537196,0,36549,16,36555,0,0,0,10,0,0,36565
2023-05-10,4,1309709,3381427,193370,0,3907,30,3937,0,0,0,0,0,0,3937
2023-05-10,5,219607926,2016391,1462329,23,5931,76,6025,2,0,0,3,0,0,6030
2023-05-10,6,8262,6776,9471,0,11,25,30,0,0,0,6,0,0,36
2023-05-11,1,347658967,34191554,3500146,34092,0,0,28670,5422,0,0,0,0,0,34092
2023-05-11,2,14123,52611,8162,52,0,0,51,1,0,0,0,0,0,52
2023-05-11,3,1434911484,23904895,3817113,0,39525,21,39530,0,0,0,16,0,0,39546
2023-05-11,4,1298533,3271305,169650,0,3884,49,3932,0,0,0,1,0,0,3933
2023-05-11,5,257659807,1907919,1360122,14,5195,84,5293,0,0,0,0,0,0,5293
2023-05-11,6,9455,8506,12496,0,22,22,37,0,0,0,7,0,0,44
2023-05-12,1,285087411,29414173,2802601,29939,0,0,25027,4912,0,0,0,0,0,29939
2023-05-12,2,17543,69431,9071,69,0,0,63,6,0,0,0,0,0,69
2023-05-12,3,1246469057,21186446,3301159,0,34639,15,34648,0,0,0,6,0,0,34654
2023-05-12,4,1286181,3308351,185544,0,3845,32,3877,0,0,0,0,0,0,3877
2023-05-12,5,216570462,1856702,1397983,43,5122,64,5229,0,0,0,0,0,0,5229
2023-05-12,6,6383,5753,12930,0,23,14,35,0,0,0,2,0,0,37
2023-05-13,1,203524421,16899502,1907636,17451,0,0,14789,2662,0,0,0,0,0,17451
2023-05-13,2,6597,27787,3108,31,0,0,29,2,0,0,0,0,0,31
2023-05-13,3,712493894,11685674,2204626,0,19793,10,19801,0,0,0,2,0,0,19803
2023-05-13,4,772072,1951860,127398,0,2307,36,2343,0,0,0,0,0,0,2343
2023-05-13,5,229101994,1612759,1268398,8,4227,62,4297,0,0,0,0,0,0,4297
2023-05-13,6,6960,5834,10445,0,13,16,29,0,0,0,0,0,0,29
2023-05-14,1,200311464,15776348,1904784,16334,0,0,13748,2586,0,0,0,0,0,16334
2023-05-14,2,6252,40847,8148,42,0,0,40,2,0,0,0,0,0,42
2023-05-14,3,642148122,10510062,3812907,0,17741,20,17757,0,0,0,4,0,0,17761
2023-05-14,4,644290,1640862,102238,0,1882,56,1937,1,0,0,0,0,0,1938
2023-05-14,5,265773441,1738080,1269436,22,4363,99,4479,2,0,0,3,0,0,4484
2023-05-14,6,11294,8665,12665,0,11,29,35,0,0,0,5,0,0,40
2023-05-15,1,355571373,31860648,3367914,32529,0,0,27659,4842,0,0,0,28,0,32529
2023-05-15,2,12439,36608,9575,35,0,0,35,0,0,0,0,0,0,35
2023-05-15,3,1432977954,24346196,3772512,0,39205,12,39202,0,0,0,15,0,0,39217
2023-05-15,4,1071825,2712003,139622,0,3242,38,3278,1,0,0,1,0,0,3280
2023-05-15,5,235826512,1975034,1574273,40,5501,60,5600,0,0,0,0,1,0,5601
2023-05-15,6,5392,5319,2062,0,17,15,32,0,0,0,0,0,0,32
2023-05-16,1,155692635,30349630,2428178,31443,0,0,26491,4851,0,0,0,101,0,31443
2023-05-16,2,3082,21870,3223,24,0,0,22,2,0,0,0,0,0,24
2023-05-16,3,1468574536,25472775,4264805,0,40524,13,40525,0,0,0,12,0,0,40537
2023-05-16,4,465748,1222449,69777,0,1453,32,1485,0,0,0,0,0,0,1485
2023-05-16,5,219536655,2059815,1790545,21,5979,68,6067,0,0,0,0,1,0,6068
2023-05-16,6,9609,15757,10962,0,81,29,110,0,0,0,0,0,0,110
2023-05-17,1,169851794,31780594,2619129,32548,0,0,27768,4780,0,0,0,0,0,32548
2023-05-17,2,2740,16753,3776,18,0,0,17,1,0,0,0,0,0,18
2023-05-17,3,1488311031,26033862,5001170,0,41457,9,41460,0,0,0,6,0,0,41466
2023-05-17,4,795794,2111695,111119,0,2440,30,2470,0,0,0,0,0,0,2470
2023-05-17,5,272893930,2022079,1450752,13,5446,82,5540,1,0,0,0,0,0,5541
2023-05-17,6,10488,7710,9608,0,16,24,39,0,0,0,1,0,0,40
2023-05-18,1,143864438,35914789,2863977,37228,0,0,31491,5737,0,0,0,0,0,37228
2023-05-18,2,4685,17257,1987,17,0,0,16,1,0,0,0,0,0,17
2023-05-18,3,1712876620,30169135,4550640,0,48262,19,48279,0,0,0,2,0,0,48281
2023-05-18,4,1118056,2938804,160758,0,3392,28,3420,0,0,0,0,0,0,3420
2023-05-18,5,231137088,1999279,1647205,36,5331,82,5444,2,0,0,3,0,0,5449
2023-05-18,6,9554,6781,9291,0,5,28,28,0,0,0,5,0,0,33
2023-05-19,1,151816992,34621633,2817845,35912,0,0,30103,5809,0,0,0,0,0,35912
2023-05-19,2,5369,30061,4085,31,0,0,28,3,0,0,0,0,0,31
2023-05-19,3,1675292105,28823824,5089262,0,46793,19,46810,0,0,0,2,0,0,46812
2023-05-19,4,1107712,2898837,168020,0,3348,38,3384,0,0,0,2,0,0,3386
2023-05-19,5,198415146,1932435,1527483,13,5482,60,5555,0,0,0,0,0,0,5555
2023-05-19,6,6028,7214,21695,0,14,13,27,0,0,0,0,0,0,27
2023-05-20,1,130635097,20733161,1766438,20683,0,0,17746,2937,0,0,0,0,0,20683
2023-05-20,2,6975,32277,2427,32,0,0,31,1,0,0,0,0,0,32
2023-05-20,3,1013283359,16849553,2742712,0,28501,14,28515,0,0,0,0,0,0,28515
2023-05-20,4,722662,1872509,157361,0,2163,43,2206,0,0,0,0,0,0,2206
2023-05-20,5,321863225,2057590,1458782,5,5093,71,5169,0,0,0,0,0,0,5169
2023-05-20,6,7507,5083,6759,0,3,20,23,0,0,0,0,0,0,23
2023-05-21,1,96199734,15594859,1655420,16484,0,0,13926,2558,0,0,0,0,0,16484
2023-05-21,2,1465,10846,2039,11,0,0,10,1,0,0,0,0,0,11
2023-05-21,3,743258001,12523231,2265961,0,21068,15,21066,0,0,0,17,0,0,21083
2023-05-21,4,679296,1717251,130087,0,1952,131,2068,13,0,0,2,0,0,2083
2023-05-21,5,261888660,1634387,1342989,19,4101,79,4197,1,0,0,1,0,0,4199
2023-05-21,6,5692,3307,2628,0,2,14,16,0,0,0,0,0,0,16
2023-05-22,1,146827599,33074395,2788247,33919,0,0,28386,5533,0,0,0,0,0,33919
2023-05-22,2,1617,18242,3617,20,0,0,19,1,0,0,0,0,0,20
2023-05-22,3,1482310330,25839337,4268544,0,41767,17,41773,0,0,0,11,0,0,41784
2023-05-22,4,1244945,3220999,201231,0,3720,44,3759,1,2,0,2,0,0,3764
2023-05-22,5,263254706,2163279,1573894,21,5911,83,6010,2,0,0,3,0,0,6015
2023-05-22,6,9846,5789,5914,0,6,25,26,0,0,0,5,0,0,31
2023-05-23,1,131412820,32133803,2651701,32520,0,0,27465,5055,0,0,0,0,0,32520
2023-05-23,2,3722,29829,4494,33,0,0,31,2,0,0,0,0,0,33
2023-05-23,3,1459297667,25116183,3814332,0,40564,6,40551,0,0,0,19,0,0,40570
2023-05-23,4,1199520,3151558,174290,0,3600,35,3635,0,0,0,0,0,0,3635
2023-05-23,5,232366170,1921021,1475260,14,5290,75,5379,0,0,0,0,0,0,5379
2023-05-23,6,10963,5998,5222,0,5,27,32,0,0,0,0,0,0,32
